"assignment_id","assignment","student_id","department_id","submit_date","teacher_id"
1,"AIRTHMETIC",3,4,"2024-01-01",7
2,"INDUSTRIES",23,2,"2024-01-01",16
3,"INDUSTRIES",21,2,"2024-01-02",17
4,"SAHITYA HINDI",19,6,"2024-03-01",1
5,"MATTER",10,1,"2024-01-02",4
6,"GEOMETRY",17,4,"2024-01-04",10
7,"CHEMICAL EFFECTS",32,7,"2024-01-06",19
8,"REPRODUCTION",21,8,"2024-02-03",3
9,"REVOLT 1857",25,3,"2024-01-03",12
10,"REVOLT 1857",6,3,"2024-01-03",12
11,"JAVA ",31,9,"2024-02-01",13
12,"CHEMICAL  EFFECTS",5,7,"2024-03-04",20
13,"ARITHMETIC",8,4,"2024-03-01",7
14,"SAHITYA HINDI",21,6,"2024-01-02",1
15,"THAKUR KA KHUA",15,6,"2024-01-04",8
16,"LIGHT",27,1,"2024-01-01",14
17,"HTML",1,9,"2024-02-04",5
18,"TENSE",29,5,"2024-03-01",2
19,"REVOLT 1857",30,3,"2024-01-02",12
20,"TENSE",5,5,"2024-03-01",2
21,"INDUSTRIES",2,2,"2024-01-03",17
